date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:46	141471/141471	---M--	200	added ('OK')	image/jpeg	etag:%220%22	http://img.youtube.com/vi/NUGMXh5gd0c/maxresdefault.jpg	C:/Users/Miracle/Desktop/portfollio/investment/img.youtube.com/vi/NUGMXh5gd0c/maxresdefault.jpg	(from http://solidcoinsfx.world/)
14:37:47	1695/1695	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Jul%202018%2018:42:46%20GMT	http://solidcoinsfx.world/assets/img/pay/around49/eth.png	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/img/pay/around49/eth.png	(from http://solidcoinsfx.world/)
14:37:47	1605/1605	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Jul%202018%2018:42:46%20GMT	http://solidcoinsfx.world/assets/img/pay/around49/bitcoin-cash.png	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/img/pay/around49/bitcoin-cash.png	(from http://solidcoinsfx.world/)
14:37:52	52973/52973	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2013:38:09%20GMT	http://solidcoinsfx.world/?a=investors	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/indexd470.html	(from http://solidcoinsfx.world/)
14:37:53	27890/27890	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/img/icons/btc-log.png	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/img/icons/btc-log.png	(from http://solidcoinsfx.world/)
14:37:54	15296/15296	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2013:38:13%20GMT	http://solidcoinsfx.world/?a=reviews	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/indexa9cc.html	(from http://solidcoinsfx.world/)
14:37:55	1589/1589	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/ResponsiveTables/ng_responsive_tables.js	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/ResponsiveTables/ng_responsive_tables.js	(from http://solidcoinsfx.world/)
14:37:58	10599/10599	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/clipboard.js/clipboard.min.js	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/clipboard.js/clipboard.min.js	(from http://solidcoinsfx.world/)
14:38:01	16651/16651	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/bootstrap-sweetalert/sweetalert.min.js	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/bootstrap-sweetalert/sweetalert.min.js	(from http://solidcoinsfx.world/)
14:38:03	86927/86927	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/jquery/dist/jquery.min.js	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/jquery/dist/jquery.min.js	(from http://solidcoinsfx.world/)
